ts,host_cpu_pct,mem_used_mb,backend_cpu,backend_rss_mb,backend_procs,mock_cpu,harness_cpu,pg_cpu,front_cpu,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_lock_waits
1785356488.738,1.0,3065,0.0,1532,4,0.0,0.0,0.0,0.0,55,1,44,10,0
1785356491.748,27.5,3195,2.0,1532,4,0.0,0.0,3.0,11.0,66,9,26,31,0
1785356494.886,95.5,3707,233.0,1533,4,0.0,137.0,45.0,26.0,77,11,26,40,0
1785356497.747,95.9,3954,384.0,1534,4,1.0,39.0,71.0,15.0,84,18,9,57,0
1785356499.925,91.0,4093,350.0,1538,4,0.0,16.0,45.0,4.0,88,14,11,63,6
1785356502.793,79.8,4155,380.0,1539,4,1.0,9.0,53.0,10.0,95,28,21,46,15
1785356505.168,87.8,4213,407.0,1541,4,2.0,22.0,78.0,6.0,95,15,28,52,7
1785356507.428,83.2,4315,393.0,1570,4,0.0,12.0,50.0,2.0,95,16,34,45,6
1785356509.913,78.2,4374,413.0,1606,4,0.0,6.0,61.0,2.0,92,12,18,62,6
1785356512.711,86.4,4394,357.0,1615,4,6.0,17.0,108.0,4.0,92,10,28,54,7
1785356515.470,90.0,4445,367.0,1619,4,9.0,31.0,113.0,7.0,95,11,27,57,8
1785356518.115,92.2,4541,357.0,1621,4,0.0,15.0,95.0,3.0,95,20,33,42,11
1785356520.649,82.8,4589,418.0,1623,4,1.0,11.0,109.0,2.0,95,8,22,65,4
1785356523.730,84.3,4633,397.0,1625,4,1.0,12.0,109.0,5.0,95,6,33,56,0
1785356526.290,91.3,4701,393.0,1627,4,10.0,24.0,102.0,4.0,95,9,32,54,3
1785356529.237,86.9,4661,410.0,1629,4,2.0,23.0,86.0,3.0,94,11,25,58,1
1785356531.871,90.6,4565,392.0,1631,4,1.0,15.0,139.0,3.0,94,7,28,59,0
1785356534.762,84.3,4578,415.0,1632,4,1.0,10.0,92.0,3.0,93,8,31,54,0
