ts,host_cpu_pct,mem_used_mb,backend_cpu,backend_rss_mb,backend_procs,mock_cpu,harness_cpu,pg_cpu,front_cpu,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_lock_waits
1785348775.759,1.2,2954,0.0,1512,4,0.0,0.0,0.0,0.0,52,1,39,12,0
1785348778.772,26.6,3073,2.0,1512,4,0.0,0.0,2.0,9.0,53,6,13,34,0
1785348781.827,93.1,3589,256.0,1514,4,1.0,138.0,46.0,15.0,75,23,4,48,0
1785348785.622,97.1,3819,397.0,1516,4,0.0,41.0,92.0,28.0,78,5,12,61,0
1785348787.866,90.4,3984,507.0,1517,4,0.0,24.0,56.0,6.0,78,22,6,50,7
1785348789.929,77.8,4004,390.0,1530,4,1.0,7.0,15.0,0.0,81,20,12,49,7
1785348792.045,74.6,4066,377.0,1565,4,0.0,3.0,16.0,1.0,81,13,15,53,8
1785348794.230,76.3,4147,391.0,1598,4,0.0,5.0,30.0,3.0,94,30,13,51,13
1785348796.543,81.8,4219,355.0,1609,4,5.0,8.0,32.0,4.0,96,30,12,54,21
1785348799.097,83.4,4265,382.0,1611,4,6.0,12.0,83.0,4.0,96,29,15,52,24
1785348801.614,88.0,4395,373.0,1616,4,1.0,19.0,115.0,1.0,96,25,22,49,22
1785348804.330,85.7,4410,417.0,1623,4,1.0,12.0,136.0,3.0,96,19,22,55,17
1785348806.947,84.4,4383,448.0,1623,4,5.0,14.0,107.0,1.0,96,26,23,47,17
1785348809.463,88.9,4320,398.0,1624,4,6.0,19.0,103.0,4.0,90,27,8,55,19
1785348812.285,87.5,4273,378.0,1625,4,8.0,34.0,92.0,4.0,95,27,16,52,18
1785348814.963,92.9,4326,353.0,1625,4,2.0,15.0,113.0,2.0,96,20,12,64,13
1785348817.459,83.9,4348,425.0,1627,4,4.0,10.0,81.0,2.0,96,19,11,66,15
1785348820.122,84.7,4386,366.0,1627,4,3.0,6.0,97.0,2.0,96,23,29,44,17
1785348822.776,89.2,4450,375.0,1628,4,11.0,21.0,92.0,2.0,96,22,16,58,18
1785348825.596,85.3,4493,418.0,1628,4,6.0,24.0,116.0,3.0,96,34,10,52,26
1785348828.545,90.8,4542,380.0,1631,4,1.0,13.0,90.0,2.0,96,36,8,52,30
1785348831.390,87.2,4505,429.0,1631,4,0.0,11.0,113.0,4.0,96,13,26,57,7
1785348834.265,85.4,4526,420.0,1631,4,1.0,11.0,123.0,2.0,96,14,28,54,6
1785348837.349,86.7,4569,428.0,1632,4,6.0,16.0,100.0,3.0,0,0,0,0,0
1785348839.751,88.4,4635,450.0,1650,4,5.0,21.0,66.0,2.0,0,0,0,0,0
1785348842.243,79.6,4649,412.0,1651,4,1.0,4.0,47.0,0.0,100,21,24,55,18
1785348844.945,83.9,4663,405.0,1651,4,0.0,8.0,71.0,1.0,97,22,10,65,18
1785348847.653,88.1,4585,419.0,1651,4,5.0,11.0,87.0,7.0,93,25,20,48,21
1785348850.497,88.3,4598,415.0,1653,4,6.0,23.0,89.0,2.0,94,24,19,51,21
1785348853.120,92.1,4525,373.0,1653,4,4.0,32.0,66.0,9.0,90,23,17,50,20
1785348855.538,87.5,4554,402.0,1653,4,3.0,14.0,49.0,2.0,0,0,0,0,0
1785348858.583,85.1,4621,386.0,1663,4,4.0,9.0,90.0,5.0,94,23,19,52,22
1785348861.087,92.1,4645,399.0,1663,4,6.0,39.0,103.0,4.0,94,23,17,54,21
1785348863.577,86.6,4644,372.0,1663,4,2.0,7.0,78.0,2.0,94,25,23,46,20
1785348866.384,86.4,4548,418.0,1664,4,1.0,12.0,83.0,6.0,94,20,20,54,17
1785348869.393,93.9,4594,360.0,1664,4,4.0,23.0,75.0,5.0,88,13,26,49,10
1785348871.941,88.4,4688,421.0,1664,4,2.0,21.0,39.0,6.0,88,12,12,64,8
1785348874.705,86.9,4757,272.0,1664,4,2.0,16.0,71.0,10.0,88,11,17,60,6
1785348877.460,90.8,4775,315.0,1664,4,4.0,21.0,76.0,10.0,88,7,26,54,3
1785348880.055,93.7,4785,357.0,1664,4,2.0,18.0,65.0,7.0,88,11,23,54,9
1785348882.941,89.1,4805,369.0,1664,4,5.0,18.0,78.0,9.0,88,21,22,45,14
1785348885.765,92.8,4816,357.0,1664,4,3.0,39.0,77.0,13.0,88,15,25,48,12
1785348888.371,78.2,4827,281.0,1664,4,1.0,12.0,72.0,4.0,87,10,28,49,6
1785348890.943,90.9,4902,339.0,1664,4,0.0,26.0,92.0,4.0,87,12,20,55,10
1785348893.601,85.3,4941,265.0,1664,4,2.0,9.0,56.0,6.0,87,13,17,57,9
1785348896.921,83.6,4919,335.0,1664,4,2.0,24.0,90.0,9.0,87,11,10,66,7
1785348899.469,92.4,4964,364.0,1664,4,5.0,25.0,93.0,11.0,87,8,21,58,5
1785348901.933,92.6,4999,350.0,1664,4,2.0,21.0,89.0,5.0,87,13,29,45,9
