ts,cpu_pct,mem_used_mb,uvicorn_procs,uvicorn_rss_mb,uvicorn_cpu_pct,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_waiting
1785347046.319,43.0,6235,1,28,0.2,13,1,12,0,0
1785347047.408,42.4,6238,1,28,0.2,13,1,12,0,0
1785347048.498,50.6,6263,1,28,0.2,14,1,13,0,0
1785347049.606,41.2,6286,1,28,0.2,14,1,13,0,0
1785347050.696,75.6,6299,1,28,0.2,18,2,9,7,1
1785347051.773,80.0,6343,1,28,0.2,18,2,9,7,1
1785347052.867,74.9,6457,1,28,0.2,18,2,11,5,1
1785347053.983,72.1,6606,1,28,0.2,18,2,10,6,1
1785347055.118,65.3,6741,1,28,0.2,18,4,7,7,1
1785347056.266,65.0,6850,1,28,0.2,19,6,6,7,2
1785347057.371,68.4,6958,1,28,0.2,33,4,14,15,1
1785347058.543,76.7,7065,1,28,0.2,33,5,18,10,3
1785347059.735,82.6,7193,1,28,0.2,33,6,15,12,4
1785347060.849,86.8,7321,1,28,0.2,33,3,17,13,0
1785347062.003,78.7,7380,1,28,0.2,37,6,9,22,4
1785347063.170,76.6,7456,1,28,0.2,37,4,18,15,3
1785347064.331,80.4,7548,1,28,0.2,37,3,24,10,2
1785347065.455,82.7,7606,1,28,0.2,30,2,18,10,1
1785347066.540,83.4,7681,1,28,0.2,30,3,14,13,1
1785347067.659,91.6,7754,1,28,0.2,30,4,10,16,3
1785347068.798,81.4,7838,1,28,0.2,35,3,17,15,2
1785347069.933,85.5,7906,1,28,0.2,35,2,26,7,0
1785347071.097,83.6,7981,1,28,0.2,31,3,17,11,2
1785347072.228,85.8,8072,1,28,0.2,31,1,19,11,0
1785347073.366,81.2,8169,1,28,0.2,31,3,18,10,2
1785347074.531,82.4,8320,1,28,0.2,31,2,20,9,1
1785347075.661,73.9,8419,1,28,0.1,31,2,19,10,0
1785347076.743,83.8,8439,1,28,0.1,29,3,26,0,0
1785347077.821,54.6,8208,1,28,0.1,28,1,27,0,0
1785347078.901,36.4,8172,1,28,0.1,28,1,27,0,0
