ts,host_cpu_pct,mem_used_mb,backend_cpu,backend_rss_mb,backend_procs,mock_cpu,harness_cpu,pg_cpu,front_cpu,pg_total,pg_active,pg_idle,pg_idle_in_txn,pg_lock_waits
1785350445.826,8.8,1900,2.0,1019,4,0.0,0.0,1.0,0.0,7,1,6,0,0
1785350446.382,14.3,1902,0.0,1019,4,0.0,0.0,0.0,0.0,7,1,6,0,0
1785350447.135,15.8,1905,0.0,1019,4,1.0,0.0,0.0,0.0,7,1,6,0,0
1785350447.702,18.2,1931,0.0,1019,4,0.0,0.0,0.0,0.0,8,1,7,0,0
1785350448.514,47.6,1985,101.0,1039,4,0.0,0.0,2.0,0.0,11,1,10,0,0
1785350449.035,55.8,1988,157.0,1051,4,0.0,9.0,3.0,0.0,11,6,5,0,0
1785350449.849,35.9,1996,88.0,1058,4,0.0,9.0,6.0,0.0,12,1,7,4,0
1785350450.408,44.1,2031,125.0,1083,4,0.0,10.0,14.0,0.0,15,3,6,6,0
1785350451.301,65.9,2063,254.0,1109,4,0.0,1.0,13.0,0.0,15,4,4,7,0
1785350451.864,72.8,2102,250.0,1121,4,0.0,1.0,30.0,0.0,17,3,8,6,0
1785350452.751,64.6,2131,185.0,1134,4,1.0,2.0,30.0,0.0,17,2,8,7,0
1785350453.261,50.2,2150,152.0,1143,4,1.0,1.0,7.0,0.0,17,2,8,7,0
1785350454.157,42.8,2167,145.0,1162,4,0.0,0.0,5.0,0.0,17,2,6,9,1
1785350454.646,42.9,2177,141.0,1169,4,0.0,0.0,5.0,0.0,17,4,8,5,0
1785350455.556,43.3,2198,142.0,1187,4,0.0,0.0,10.0,0.0,17,4,7,6,0
1785350456.026,43.8,2212,137.0,1193,4,0.0,0.0,9.0,0.0,17,4,7,6,0
1785350457.024,46.2,2219,138.0,1197,4,0.0,1.0,17.0,0.0,29,10,8,11,4
1785350457.559,52.5,2252,151.0,1202,4,0.0,1.0,23.0,0.0,30,5,14,11,3
1785350458.530,55.7,2282,153.0,1207,4,0.0,0.0,28.0,0.0,30,4,25,1,3
1785350459.094,53.6,2303,150.0,1213,4,0.0,1.0,37.0,0.0,30,4,25,1,3
1785350460.071,40.4,2312,94.0,1215,4,0.0,3.0,30.0,0.0,30,5,19,6,1
1785350460.595,39.4,2323,92.0,1217,4,0.0,3.0,36.0,0.0,30,3,18,9,0
1785350461.622,59.3,2365,190.0,1240,4,0.0,4.0,49.0,0.0,30,3,18,9,0
1785350462.145,65.0,2392,224.0,1259,4,1.0,4.0,55.0,0.0,31,5,19,7,2
1785350463.130,62.4,2413,222.0,1273,4,1.0,2.0,43.0,0.0,31,3,20,8,2
1785350463.647,56.5,2426,184.0,1277,4,0.0,1.0,28.0,0.0,31,3,20,8,2
1785350464.681,51.0,2443,150.0,1281,4,0.0,0.0,21.0,0.0,31,5,17,9,1
1785350465.270,54.0,2447,167.0,1283,4,0.0,1.0,41.0,0.0,31,3,18,10,1
1785350466.265,59.6,2464,192.0,1292,4,0.0,2.0,52.0,0.0,31,7,12,12,1
1785350466.787,56.6,2474,180.0,1294,4,0.0,1.0,44.0,0.0,31,4,18,9,1
1785350467.782,54.3,2485,170.0,1298,4,0.0,2.0,49.0,0.0,31,3,22,6,1
1785350468.312,55.8,2504,164.0,1300,4,0.0,2.0,47.0,0.0,31,2,19,10,1
